Symbol,SECURITY_ID
DEVYANI,5373
DHAMPURSUG,857
DHANBANK,11360
DHANI,15384
DHANUKA,24409
DHARMAJ,13001
DHUNINV,22233
DIACABS,18545
DIAMONDYD,21840
DICIND,703
DIFFNKG,25673
DISHTV,14537
DIVGIITTS,14479
DIVISLAB,10940
DIXON,21690
DLF,14732
DLINKINDIA,17851
DMART,19913
DMCC,6980
DODLA,4822
DOLATALGO,12124
DOLLAR,20560
DOLPHIN,18136
DOMS,20551
DONEAR,13839
DPABHUSHAN,936
DPSCLTD,15419
DREAMFOLKS,10859
DREDGECORP,11271
DRREDDY,881
DSSL,25690
DVL,15214
DWARKESH,11667
DYCL,10417
DYNAMATECH,4525
E2E,8937
EASEMYTRIP,2792
ECLERX,15179
ECOSMOBLTY,25060
EDELWEISS,15119
EICHERMOT,910
EIDPARRY,916
EIEL,27213
EIHAHOTELS,15399
EIHOTEL,919
EIMCOELECO,4040
EKC,13091
ELDEHSG,8953
ELECON,13643
ELECTCAST,18116
ELECTCAST,928
ELECTHERM,14902
ELGIEQUIP,937
ELIN,13423
EMAMILTD,13517
EMAMIPAP,10074
EMBDL,14450
EMCURE,24398
EMIL,11530
EMSLIMITED,18593
EMUDHRA,9756
ENDURANCE,18822
ENGINERSIN,4907
ENIL,13192
ENTERO,22717
EPACK,22463
EPIGRAL,5382
EPL,981
EQUITASBNK,913
ERIS,21154
ESABINDIA,955
ESAFSFB,19878
ESCORTS,958
ESSARSHPNG,25638
ESTER,24265
ETHOSLTD,9750
EUREKAFORB,25162
EVEREADY,11782
EVERESTIND,6017
EXCELINDUS,11471
EXICOM,22947
EXIDEIND,676
EXPLEOSOL,17486
FACT,1008
FAIRCHEMOR,1614
FAZE3Q,12000
FCL,6198
FDC,4898
FEDERALBNK,1023
FEDFINA,20322
FIEMIND,13710
FILATEX,24532
FINCABLES,1038
FINEORG,3744
FINOPB,6579
FINPIPE,1041
FIRSTCRY,24814
FIVESTAR,12032
FLAIR,20372
FLUOROCHEM,13750
FMGOETZE,1190
FOODSIN,6673
FORCEMOT,11573
FORTIS,14592
FOSECOIND,1073
FSL,14304
FUSION,11932
GABRIEL,1085
GAEL,8828
GAIL,4717
GALAPREC,25134
GALAXYSURF,1315
GALLANTT,13337
GANDHAR,20303
GANDHITUBE,14116
GANECOS,6944
GANESHBE,5614
GANESHHOUC,14339
GARFIBRES,1100
GARUDA,25800
GATEWAY,8510
GEECEE,13658
GENESYS,10905
GENSOL,17012
GENUSPOWER,11905
GEOJITFSL,11896
GEPIL,7862
GESHIP,13776
GFLLIMITED,1289
GHCL,1127
GHCLTEXTIL,16696
GICHSGFIN,1139
GICRE,277
GILLETTE,1576
GIPCL,1145
GLAND,1186
GLAXO,1153
GLENMARK,7406
GLOBUSSPR,17424
GLOSTERLTD,23590
GMBREW,1168
GMDCLTD,5204
GMMPFAUDLR,1570
GMRAIRPORT,13528
GMRP&UI,8529
GNA,18571
GNFC,1174
GOCLCORP,3963
GOCOLORS,6964
GODAVARIB,25943
GODFRYPHLP,1181
GODIGIT,23799
GODREJAGRO,144
GODREJCP,10099
GODREJIND,10925
GODREJPROP,17875
GOKEX,11778
GOKULAGRO,14480
GOLDIAM,11971
GOODLUCK,6125
GOPAL,23066
GPIL,13409
GPPL,19731
GPTHEALTH,22846
GPTINFRA,17685
GRANULES,11872
GRAPHITE,592
GRASIM,1232
GRAVITA,20534
GREAVESCOT,1235
GREENLAM,6848
GREENPANEL,13810
GREENPLY,3987
GREENPOWER,20110
GRINDWELL,13560
GRINFRA,5054
GRMOVER,10871
GRPLTD,6543
GRSE,5475
GRWRHITECH,7982
GSFC,1247
GSPL,13197
GTLINFRA,13745
GTPL,21195
GUFICBIO,11606
GUJALKALI,1267
GUJGASLTD,10599
GUJTHEM,29731
GULFOILLUB,4391
GVKPIL,13229
GVT&D,16783
HAL,2303
HAPPSTMNDS,48
HAPPYFORGE,20854
HARDWYN,8964
HARIOMPIPE,8968
HARSHA,11162
HATHWAY,18154
HATSUN,3892
HAVELLS,9819
HBLENGINE,13966
HCC,1375
HCG,15555
HCLTECH,7229
HDFCAMC,4244
HDFCBANK,1333
HDFCLIFE,467
HEG,1336
HEIDELBERG,2316
HEMIPROP,701
HERANBA,2620
HERITGFOOD,4598
HEROMOTOCO,1348
HESTERBIO,7048
HEUBACHIND,715
HEXATRADEX,27008
HFCL,21951
HGINFRA,1672
HGS,14712
HIKAL,9668
HIL,1455
HIMATSEIDE,1360
HINDALCO,1363
HINDCOMPOS,1372
HINDCOPPER,17939
HINDOILEXP,1403
HINDPETRO,1406
HINDUNILVR,1394
HINDWAREAP,15883
HINDZINC,1424
HIRECT,13890
HITECH,2868
HITECHGEAR,8568
HLEGLAS,2289
HLVLTD,1448
HMAAGRO,17053
HMT,19698
HMVL,19211
HNDFDS,12173
HOMEFIRST,2056
HONASA,19813
HONAUT,3417
HONDAPOWER,3138
