Symbol,SECURITY_ID
VARROC,3857
VASCONEQ,18110
VBL,18921
VEDL,3063
VEEDOL,14019
VENKEYS,3757
VENTIVE,28847
VENUSPIPES,9592
VERANDA,8890
VERTOZ,18865
VESUVIUS,3676
VGUARD,15362
VHL,11892
VHLTD,23386
VIDHIING,13536
VIJAYA,5585
VIKASLIFE,9931
VIMTALABS,13101
VINATIORGA,17364
VINCOFE,25835
VINDHYATEL,3694
VIPIND,3703
VISAKAIND,4221
VISHNU,6908
VLSFINANCE,3715
VMART,29284
VMM,27969
VOLTAMP,13577
VOLTAS,3718
VPRPL,18341
VRAJ,24321
VRLLOG,8696
VSSL,27067
VSTIND,3724
VSTTILLERS,24292
VTL,2073
WAAREEENER,25907
WABAG,20188
WALCHANNAG,3736
WANBURY,14063
WCIL,25403
WEALTH,1933
WEBELSOLAR,14606
WEL,7835
WELCORP,11821
WELENT,11626
WELSPUNLIV,11253
WENDT,4235
WESTLIFE,11580
WHEELS,3766
WHIRLPOOL,18011
WINDLAS,5366
WINDMACHIN,24969
WIPRO,3787
WOCKPHARMA,7506
WONDERLA,3002
WSTCSTPAPR,3799
XCHANGING,11705
XPROINDIA,11407
YASHO,18131
YATHARTH,17738
YATRA,18760
YESBANK,11915
YUKEN,5501
ZAGGLE,18608
ZEEL,3812
ZEEMEDIA,14003
ZENSARTECH,1076
ZENTEC,7508
ZFCVINDIA,16915
ZODIAC,7129
ZOMATO,5097
ZOTA,11394
ZUARI,29050
ZUARIIND,3827
ZYDUSLIFE,7929
ZYDUSWELL,17635
